mileage_km,vehicle_age_months,power_kw,power_hp,electric_range_km,wltp_consumption_kwh_100km,seller_rating_stars,seller_rating_count,image_count,previous_owner_count,door_count,seat_count,warranty_months,battery_charging_time_min,price_per_kw,price_per_hp,price_per_range_km,mileage_per_month,variant,model_number_v2,seller_type,body_type,exterior_color,paint_type,interior_color,upholstery_material,city,is_conditional_price_clean,available_now_clean,warranty_exists_clean,has_full_service_history_clean,had_accident_clean,is_sportback,is_quattro,is_s_line,has_matrix,has_pano,has_ahk,has_hud,has_acc,has_camera,duplicate_listing_id,seller_has_rating,has_warranty_months,has_battery_info,has_city_range,has_charging_time,price_eur,sold_within_14d,listing_id
23340,30.0,150.0,204.0,529,16.6,4.5,224.0,30,1.0,4.0,4.0,12,38,199.86,146.9558823529412,56.6710775047259,778.0,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Blue,Metallic,Grey,Cloth,Detmold,False,True,True,True,,False,False,False,False,False,False,False,False,True,False,1,1,0,0,1,29979,1.0,3ae24283-6cda-4298-8dfe-62f26cd3a98c
4000,9.0,210.0,286.0,540,16.1,4.5,38.0,8,1.0,5.0,5.0,36,1,223.71428571428572,164.26573426573427,87.0,444.44444444444446,Q4 e-tron,,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Black,Cloth,Trier,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,1,1,0,0,1,46980,1.0,78a6f3f5-454f-468a-8a62-be3af43a2790
8500,9.0,150.0,204.0,400,17.0,,,15,1.0,5.0,5.0,16,,286.53333333333336,210.68627450980392,107.45,944.4444444444445,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Grey,Others,Black,Cloth,Bad Oldesloe,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,0,1,0,0,0,42980,1.0,706aaf22-75fa-4b9a-a067-1fface5b5ff0
28275,39.0,150.0,204.0,466,,4.5,94.0,13,1.0,5.0,5.0,,,233.2,171.47058823529412,75.06437768240343,725.0,Q4 e-tron,,Dealer,SUV/Off-Road/Pick-Up,Grey,Others,Black,Cloth,Neumarkt,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0,0,0,34980,1.0,0df6450b-f648-42f7-8ac7-e7db253d782a
8500,12.0,210.0,286.0,514,17.1,4.5,35.0,14,1.0,5.0,5.0,13,,255.95238095238096,187.93706293706293,104.57198443579766,708.3333333333334,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Cloth,Erlangen,False,True,True,False,False,False,True,True,False,False,True,False,True,False,False,1,1,0,0,0,53750,1.0,e80cccee-af64-4564-993b-940aaaf4bd87
44687,41.0,125.0,170.0,306,,4.5,151.0,20,1.0,5.0,5.0,,,188.4,138.52941176470588,76.96078431372548,1089.9268292682927,Q4 e-tron,35,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Cloth,Hannover,False,True,True,True,False,False,False,False,True,False,False,False,True,True,False,1,0,0,0,0,23550,1.0,81e4aa8c-6318-4d9a-bfe9-2111d48b85ca
42000,40.0,125.0,170.0,343,17.1,5.0,1.0,15,1.0,4.0,5.0,,,196.08,144.1764705882353,71.45772594752187,1050.0,Q4 e-tron Sportback,35,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Black,Cloth,Aach,False,True,True,True,,True,False,False,False,False,False,False,False,False,False,1,0,0,0,0,24510,1.0,9b092dfa-aea5-411f-b360-7222a48627ff
7050,9.0,210.0,286.0,456,,4.0,89.0,6,1.0,5.0,5.0,,,236.57142857142858,173.7062937062937,108.94736842105263,783.3333333333334,Q4 e-tron,45,Dealer,SUV/Off-Road/Pick-Up,Grey,,Black,Cloth,Minden,False,True,True,True,False,False,False,False,True,False,True,False,True,True,False,1,0,0,0,0,49680,1.0,ae74bc4d-78a9-468b-824f-8a8ec77fd286
49885,38.0,150.0,204.0,466,,4.0,88.0,15,1.0,5.0,5.0,,,199.2,146.47058823529412,64.12017167381974,1312.7631578947369,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Black,Metallic,Black,Part leather,Essen,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,29880,1.0,d248440b-9bd1-483b-b9ce-1ec158bb28c3
21100,36.0,220.0,299.0,420,,4.5,69.0,15,1.0,5.0,5.0,,,199.54545454545453,146.8227424749164,104.52380952380952,586.1111111111111,Q4 e-tron Sportback,50,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Beige,Part leather,Berlin,False,True,True,True,False,True,False,False,False,False,False,True,False,True,False,1,0,0,0,0,43900,1.0,f0b703a0-ab36-4290-9bd8-7a8af5ab71f0
40700,51.0,220.0,299.0,420,,4.5,69.0,10,2.0,5.0,5.0,,,158.63636363636363,116.72240802675586,83.0952380952381,798.0392156862745,Q4 e-tron,50,Dealer,SUV/Off-Road/Pick-Up,Grey,,Black,Part leather,Berlin,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,1,0,0,0,0,34900,1.0,c4cf4b41-aecc-43bb-850e-8a9c4a5fbd31
53725,38.0,150.0,204.0,466,,5.0,242.0,15,1.0,5.0,5.0,,,186.33333333333334,137.00980392156862,59.97854077253219,1413.8157894736842,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Grey,Others,Black,Cloth,Duisburg,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,0,27950,1.0,ed57c5e5-2cbb-4e95-83d2-fdfd4f5e918c
60000,47.0,150.0,204.0,479,,4.0,44.0,6,1.0,4.0,5.0,,,179.93333333333334,132.30392156862746,56.34655532359081,1276.595744680851,Q4 e-tron Sportback,40,Dealer,SUV/Off-Road/Pick-Up,Grey,Metallic,Black,Part leather,Sulzbach - Rosenberg,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,1,0,0,0,0,26990,1.0,072f0343-5e17-4017-9a7e-27af80426015
5895,10.0,210.0,286.0,475,,4.0,3.0,11,1.0,5.0,5.0,49,,219.0,160.8041958041958,96.82105263157895,589.5,Q4 e-tron Sportback,45,Dealer,SUV/Off-Road/Pick-Up,Violet,Metallic,Black,Cloth,Schweinfurt,False,True,True,True,False,True,False,False,True,False,True,False,False,True,False,1,1,0,0,0,45990,1.0,3ecba660-9705-40a6-85c4-32208453ec97
59399,33.0,150.0,204.0,466,,4.5,151.0,15,1.0,5.0,5.0,,,192.6,141.61764705882354,61.99570815450644,1799.969696969697,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Grey,,Black,Cloth,Hannover,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,28890,1.0,aea86b32-562e-46f0-b77b-5fa61a01b4c2
32600,30.0,150.0,204.0,524,16.8,5.0,1.0,15,1.0,5.0,5.0,,,209.73333333333332,154.2156862745098,60.038167938931295,1086.6666666666667,Q4 e-tron,40,Dealer,SUV/Off-Road/Pick-Up,Grey,Others,Black,Cloth,Aach,False,True,True,True,,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,31460,1.0,f15f85da-7bda-49a3-a93a-bea055aabe11
