rank,title,price_eur,de_fair_price,de_discount_eur,it_predicted_price,gross_margin_eur,net_margin_eur,it_premium_pct,sale_prob_14d,arbitrage_score,model_number_v2,variant,mileage_km,vehicle_age_months,city,seller_name,listing_url
11,"Audi Q4 e-tron 35 Advanced Nav/Assist/SHZ/optik/20""",24610,25622.409900141938,1012.4099001419381,31240.617,6630.6171875,4130.6171875,26.9427760564811,0.7517274,3105.0,,Q4 e-tron Sportback,59918,36.0,Hünfeld,Autohaus Deisenroth & Söhne GmbH & Co. KG,https://www.autoscout24.com/offers/audi-q4-e-tron-35-advanced-nav-assist-shz-optik-20-electric-grey-793b8b3d-b61a-47e1-a109-2bc14c76cac0
12,Audi Q4 e-tron NEUBESTELLUNG MJ 2027,40090,40748.38575654065,658.3857565406506,47264.617,7174.6171875,4674.6171875,17.89627634696931,0.64004576,2992.0,,Q4 e-tron,0,,Kassel,Audi Zentrum Kassel GmbH & Co.KG,https://www.autoscout24.com/offers/audi-q4-e-tron-neubestellung-mj-2027-electric-grey-372ae770-3a9c-4c6b-8b29-99d570b13873
13,"Audi Q4 e-tron 45 S-LINE quattro, AHK, Navi, Matrix, Side, Kamera",48995,50483.02391721447,1488.023917214472,55920.145,6925.14453125,4425.14453125,14.134390307684463,0.66082406,2924.0,,Q4 e-tron,10,1.0,Neukirchen,Auto Niedermayer GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-ahk-navi-matrix-side-kamera-electric-black-9301f90f-d5f3-4d5d-bc6e-e40a7c0ed243
14,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, Navi, Matrix, ...",48995,50337.64584227573,1342.6458422757278,55714.508,6719.5078125,4219.5078125,13.71468070721502,0.68952626,2909.0,,Q4 e-tron,10,1.0,Wörth a. d. Donau,Auto Hünn OHG,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-navi-matrix-electric-black-8084102c-0851-4833-80da-59266d54a56d
15,"Audi Q4 e-tron Q4 SUV NEU 419€ BRUTTO NAVI,19,SITZHZG",39290,39735.74791286001,445.7479128600098,46241.36,6951.359375,4451.359375,17.69243923390176,0.6482548,2886.0,,Q4 e-tron,0,,Straubing,Autohaus Ostermaier GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-neu-419-brutto-navi-19-sitzhzg-electric-grey-4d8532ca-55f2-47f9-8cb7-f0871c551b1b
16,"Audi Q4 e-tron SUV NEU 419€ BRUTTO NAVI,19,SITZHZG",39290,39735.74791286001,445.7479128600098,46241.36,6951.359375,4451.359375,17.69243923390176,0.6482548,2886.0,,Q4 e-tron,0,,Straubing,Autohaus Ostermaier GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-suv-neu-419-brutto-navi-19-sitzhzg-electric-grey-9fdab2ce-9284-4765-9eee-879a4465ac3e
17,"Audi Q4 e-tron Sportback 35 Alu 19"" GRA Navi Sitzh.",26740,27157.1479645464,417.1479645463987,34602.223,7862.22265625,5362.22265625,29.402478146035893,0.53103805,2848.0,,Q4 e-tron Sportback,37450,36.0,Forchheim,Audi Forchheim – Feser-Biemann,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-35-alu-19-gra-navi-sitzh-electric-grey-f352e9ca-8a35-4ca1-ab84-4c21f0f3fbef
18,"Audi Q4 e-tron 45 S-LINE quattro, AHK, Navi, Matrix, Side, Kamera",48995,50592.9613971876,1597.9613971876024,55729.867,6734.8671875,4234.8671875,13.74602956934381,0.661616,2802.0,,Q4 e-tron,10,1.0,Neukirchen,Auto Niedermayer GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-ahk-navi-matrix-side-kamera-electric-black-e5f2fff8-5cd7-4486-83d5-78ac51642220
19,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, Navi, Matrix, ...",48995,49771.783041187744,776.783041187744,55382.242,6387.2421875,3887.2421875,13.036518394734165,0.70150256,2727.0,,Q4 e-tron,10,1.0,Wörth a. d. Donau,Auto Hünn OHG,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-navi-matrix-electric-black-d6a05295-3b6e-49a1-9bec-2fdb2de2b305
20,Audi Q4 e-tron Q4 45 e-tron S line 534km/WLTP*GRA*LED*Sound*,42990,43017.60002523759,27.600025237588852,50405.918,7415.91796875,4915.91796875,17.250332562805305,0.554284,2725.0,45,Q4 e-tron,8090,8.0,Schweinfurt,Gelder und Sorg Schweinfurt GmbH und Co. KG,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-e-tron-s-line-534km-wltp-gra-led-sound-electric-blue-f95b10ab-a447-46b6-86a4-8479d5155c68
21,Audi Q4 e-tron,27480,27875.588764463322,395.58876446332215,33043.176,5563.17578125,3063.17578125,20.244453352438143,0.8882334,2721.0,,Q4 e-tron,35874,42.0,Ursensollen,Fischer Automobile GmbH & Co. KG,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-grey-7ddeee00-93a0-4aaa-914f-9526bcf13b11
22,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat...",49045,50600.65878784099,1555.6587878409919,56453.523,7408.5234375,4908.5234375,15.105563130798249,0.54910135,2695.0,,Q4 e-tron,10,1.0,Osnabrück,MFH Mehrmarken-Fahrzeughandel / Osna-Autos,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-db50f778-0573-4910-996c-47f7c3c3080e
23,"Audi Q4 e-tron 45 S-LINE quattro, Navi, Matrix, Side, Kamera, el.",47995,49630.411156333495,1635.4111563334955,55729.867,7734.8671875,5234.8671875,16.115985389103038,0.51356465,2688.0,,Q4 e-tron,10,1.0,Neukirchen,Auto Niedermayer GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-navi-matrix-side-kamera-el-electric-black-28306b9d-7e12-4bd4-aaca-7505ce33a078
24,"Audi Q4 e-tron 45 S-LINE quattro, Navi, Matrix, Side, Kamera, el.",47995,48941.13021892127,946.1302189212729,55534.832,7539.83203125,5039.83203125,15.709619817168452,0.52887183,2665.0,,Q4 e-tron,10,1.0,Neukirchen,Auto Niedermayer GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-navi-matrix-side-kamera-el-electric-black-70302a7c-6969-4470-96fb-da16b04ba18c
25,Audi Q4 e-tron Q4 Sportback 35 e-tron LED Navi PDC SHZ GRA,26730,27100.38611854347,370.3861185434689,32678.885,5948.884765625,3448.884765625,22.255461150860455,0.7671533,2646.0,35,Q4 e-tron Sportback,41800,37.0,Sinsheim,ASW Automobile GmbH & Co. KG,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-35-e-tron-led-navi-pdc-shz-gra-electric-black-03ec7613-65d1-4f23-9519-67fbf4d1b004
26,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat...",49045,51159.25871773034,2114.258717730343,56453.523,7408.5234375,4908.5234375,15.105563130798249,0.52351516,2570.0,,Q4 e-tron,10,1.0,Osnabrück,MFH Mehrmarken-Fahrzeughandel / Osna-Autos,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-eb820eba-038d-41ea-8e7f-e0dc82e4cf34
27,Audi Q4 e-tron 40*NAVI-PLUS*LED*KAMERA*AHK*SHZ*PDC,38699,40605.18944735463,1906.1894473546272,45065.77,6366.76953125,3866.76953125,16.452025972893345,0.65364057,2527.0,,Q4 e-tron,6000,8.0,Hanau,AVEMO Hanau GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-40-navi-plus-led-kamera-ahk-shz-pdc-electric-white-e1a99760-5eea-48ce-b845-105a4266c165
28,"Audi Q4 e-tron 35 Advanced Nav/Assist/SHZ/optik/20""",24610,25623.006474057696,1013.0064740576963,29812.916,5202.916015625,2702.916015625,21.141471010260048,0.8953896,2420.0,,Q4 e-tron Sportback,59918,36.0,Hünfeld,Deisenroth & Söhne GmbH & Co. KG,https://www.autoscout24.com/offers/audi-q4-e-tron-35-advanced-nav-assist-shz-optik-20-electric-grey-08732cd3-0234-4883-8cd9-90f8d9730ccb
29,"Audi Q4 e-tron 35 mit Ladesystem + 19"" Winterräder",23990,25092.13153581291,1102.1315358129104,31018.549,7028.548828125,4528.548828125,29.29782754533139,0.5093758,2307.0,,Q4 e-tron,43544,54.0,Berlin,Hans Laatzig Automobile GmbH,https://www.autoscout24.com/offers/audi-q4-e-tron-35-mit-ladesystem-19-winterraeder-electric-grey-81cd27ad-0f4b-471a-bf76-05d82d147c93
