listing_id,title,listing_url,status,price_eur,segment_median_price,discount_vs_segment_median_pct,segment_sold_rate,eda_deal_score,model_number,variant,mileage_km,vehicle_age_months,power_kw,electric_range_km,city,seller_name
883decee-1820-41a6-acf1-7e221e725f5e,Audi Q4 e-tron Q4 Sportback 40 e-tron,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-40-e-tron-electric-grey-883decee-1820-41a6-acf1-7e221e725f5e,sold_or_removed,28980,33880.0,14.46280991735537,0.6363636363636364,9.203606311044327,40.0,Q4 e-tron Sportback,32666.0,40.0,150.0,479.0,Hamburg,Audi Hamburg GmbH
c6cd9486-049e-490d-859c-d8a028380a82,Audi Q4 e-tron Q4 Sportback 40 e-tron,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-40-e-tron-electric-grey-c6cd9486-049e-490d-859c-d8a028380a82,sold_or_removed,28980,33880.0,14.46280991735537,0.6363636363636364,9.203606311044327,40.0,Q4 e-tron Sportback,32666.0,40.0,150.0,479.0,Hamburg,Audi Hamburg GmbH
0e82123c-5b59-4c4f-8058-a026362cf1a3,Audi Q4 e-tron 40 Navi LED Rückfahrkamera Leder virtual,https://www.autoscout24.com/offers/audi-q4-e-tron-40-navi-led-rueckfahrkamera-leder-virtual-electric-blue-0e82123c-5b59-4c4f-8058-a026362cf1a3,sold_or_removed,24950,28880.0,13.60803324099723,0.6727272727272727,9.154495089398136,40.0,Q4 e-tron Sportback,89881.0,41.0,150.0,466.0,Mülheim an der Ruhr,Audi Zentrum Mülheim
88921b4a-4bc4-4685-ab46-56910b190ac4,Audi Q4 e-tron 40 Navi LED Rückfahrkamera Leder virtual,https://www.autoscout24.com/offers/audi-q4-e-tron-40-navi-led-rueckfahrkamera-leder-virtual-electric-blue-88921b4a-4bc4-4685-ab46-56910b190ac4,sold_or_removed,24950,28880.0,13.60803324099723,0.6727272727272727,9.154495089398136,40.0,Q4 e-tron Sportback,89881.0,41.0,150.0,466.0,Mülheim an der Ruhr,Audi Zentrum Mülheim
c10d0ce2-9996-4378-bff8-db37706387f0,Audi Q4 e-tron 40 Navi LED Rückfahrkamera Leder virtual,https://www.autoscout24.com/offers/audi-q4-e-tron-40-navi-led-rueckfahrkamera-leder-virtual-electric-blue-c10d0ce2-9996-4378-bff8-db37706387f0,sold_or_removed,24950,28880.0,13.60803324099723,0.6727272727272727,9.154495089398136,40.0,Q4 e-tron Sportback,89881.0,41.0,150.0,466.0,Mülheim an der Ruhr,Audi Zentrum Mülheim
9af2cf94-4535-4e0c-bca0-25c27aa58a86,Audi Q4 e-tron 40 e-tron 1.Hand inkl.Mwst,https://www.autoscout24.com/offers/audi-q4-e-tron-40-e-tron-1-hand-inkl-mwst-electric-white-9af2cf94-4535-4e0c-bca0-25c27aa58a86,still_listed_at_last_scrape,21999,29550.0,25.55329949238579,0.35555555555555557,9.085617597292726,40.0,Q4 e-tron,148000.0,38.0,150.0,306.0,Breisach,HERTH-AUTOMOBILE
b96cb57b-2fe2-469a-9ae8-020922861b55,"Audi Q4 e-tron 45 e-tron LED/Navi+/ACC/PDC+/20""",https://www.autoscout24.com/offers/audi-q4-e-tron-45-e-tron-led-navi-acc-pdc-20-electric-black-b96cb57b-2fe2-469a-9ae8-020922861b55,sold_or_removed,39940,46821.0,14.696396915913798,0.6078431372549019,8.933104007712307,45.0,Q4 e-tron,3547.0,18.0,210.0,548.0,Magdeburg,Audi Zentrum Magdeburg
bbeca33d-39c6-49b5-8e6e-a35d6a8345a4,Audi Q4 e-tron Q4 55 e-tron Q. Kamera AHZV LED Navi,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-55-e-tron-q-kamera-ahzv-led-navi-electric-blue-bbeca33d-39c6-49b5-8e6e-a35d6a8345a4,sold_or_removed,44490,49980.0,10.984393757503002,0.8,8.787515006002401,,Q4 e-tron,5275.0,14.0,250.0,450.0,Dresden,VGRDD GmbH
b3febb11-c737-4755-a0bb-fe3b9e417c0a,Audi Q4 e-tron Q4 quattro 50 e-tron 82kWh,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-quattro-50-e-tron-82kwh-electric-white-b3febb11-c737-4755-a0bb-fe3b9e417c0a,sold_or_removed,25998,29930.0,13.137320414300033,0.6666666666666666,8.758213609533355,50.0,Q4 e-tron,121612.0,43.0,220.0,511.0,Ergolding,auto mega store gmbh
b3febb11-c737-4755-a0bb-fe3b9e417c0a,Audi Q4 e-tron 50 quattro 82kWh Kamera/ACC/LED,https://www.autoscout24.com/offers/audi-q4-e-tron-50-quattro-82kwh-kamera-acc-led-electric-white-b3febb11-c737-4755-a0bb-fe3b9e417c0a,sold_or_removed,25998,29930.0,13.137320414300033,0.6666666666666666,8.758213609533355,50.0,Q4 e-tron,121612.0,43.0,220.0,511.0,Ergolding,auto mega store gmbh
b3febb11-c737-4755-a0bb-fe3b9e417c0a,Audi Q4 e-tron 50 quattro 82kWh Kamera/ACC/LED/Navi,https://www.autoscout24.com/offers/audi-q4-e-tron-50-quattro-82kwh-kamera-acc-led-navi-electric-white-b3febb11-c737-4755-a0bb-fe3b9e417c0a,still_listed_at_last_scrape,25999,29930.0,13.133979284998329,0.6666666666666666,8.755986189998886,50.0,Q4 e-tron,121612.0,43.0,220.0,511.0,Ergolding,auto mega store gmbh
a64b3260-3e56-49eb-b7ba-98de8978e5a4,Audi Q4 e-tron e-tron 40 S-Line / 1.Hand / NAVI / LED,https://www.autoscout24.com/offers/audi-q4-e-tron-e-tron-40-s-line-1-hand-navi-led-electric-white-a64b3260-3e56-49eb-b7ba-98de8978e5a4,sold_or_removed,22990,28144.5,18.314413118015953,0.47619047619047616,8.721149103817119,40.0,Q4 e-tron,134000.0,55.0,150.0,466.0,Edingen-Neckarhausen,Takyan Automobile GmbH
f7653e7d-7b8b-4c84-b2c3-45ae33f9f866,Audi Q4 e-tron Q4 Sportback 50 Qu. S-Line Navi vc RfK Sound RFK,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-50-qu-s-line-navi-vc-rfk-sound-rfk-electric-grey-f7653e7d-7b8b-4c84-b2c3-45ae33f9f866,sold_or_removed,26980,33983.5,20.608530610443303,0.4166666666666667,8.586887754351377,50.0,Q4 e-tron Sportback,98995.0,41.0,220.0,522.0,Gyhum/Bockel,DAT AUTOHUS AG
8bba3971-39b6-4f14-8e1f-64cbca09327a,Audi Q4 e-tron Q4 40 e-tron NAVI MATRIX ACC RFK HUD SHZ,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-navi-matrix-acc-rfk-hud-shz-electric-white-8bba3971-39b6-4f14-8e1f-64cbca09327a,sold_or_removed,29430,33850.0,13.0576070901034,0.6551724137931034,8.554983955584985,40.0,Q4 e-tron,31000.0,41.0,150.0,447.0,Weinsberg,ASW Automobile GmbH & Co. KG
9bf4a3ff-3c14-4548-bb7a-52cf048f5fd7,Audi Q4 e-tron Q4 40 e-tron NAVI MATRIX ACC RFK HUD SHZ,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-navi-matrix-acc-rfk-hud-shz-electric-white-9bf4a3ff-3c14-4548-bb7a-52cf048f5fd7,sold_or_removed,29430,33850.0,13.0576070901034,0.6551724137931034,8.554983955584985,40.0,Q4 e-tron,31000.0,41.0,150.0,447.0,Bad Rappenau,asw.AUTOMOBILE Bad Rappenau GmbH
b6a53742-3502-4184-a878-663bc27eb8ec,Audi Q4 e-tron Q4 E-tron 40 Sportback advanced Navi ACC SHZ WP,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-e-tron-40-sportback-advanced-navi-acc-shz-wp-electric-grey-b6a53742-3502-4184-a878-663bc27eb8ec,sold_or_removed,29490,34840.0,15.355912743972445,0.5555555555555556,8.531062635540247,40.0,Q4 e-tron Sportback,29000.0,31.0,150.0,479.0,Sulzbach - Rosenberg,R.S. Automobile GmbH
